school_name,address,phone,email,source_url
BIS,"33 Jeongjail-ro, Geumgok-dong, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/BIS
SLP Mokdong,"7F, 909-5 Mok-dong, Yangcheon-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/SLPMokdong
Altiora Busan Yeonje,"5F, 190 Gwajeong-ro, Yeonje-gu, Busan, South Korea",,,https://www.theworknplay.com/Work/AltioraBusanYeonje
Gyeonggi Academy of Foreign Languages,"30 Gosan-ro 105beon-gil, Gocheon-dong, Uiwang-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/gafl
Poly Gimpo,"6F, Dream World Plaza, 48 Saujung-ro, Gimpo, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/PolyGimpo11
Creverse April Daechi,"2F, 118 Eonju-ro, Gangnam District, Seoul, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilDaechi
Francis Parker Collegiate Hanam,"5F, 141-6 Pungsan-dong, Hanam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/FrancisParkerCollegiateHanam
Francis Parker Collegiate Bucheon,"4F, 110-11 Okgil-ro, Bucheon-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/FrancisParkerCollegiateBucheon
RISE Uijeongbu,"2F, 8-13 Cheongsa-ro 5beon-gil, Uijeongbu-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/RISEUijeongbu11
LOTIS,"81 Samjeon-ro, Songpa District, Seoul, South Korea",,,https://www.theworknplay.com/Work/LOTIS
RISE Daegu Dalseo,"15F, 1545 Dalgubeol-daero, Dalseo-gu, Daegu, South Korea",,,https://www.theworknplay.com/Work/RISEDaeguDalseo11
SLP Seongbuk,"43 Dongsomun-ro, Seongbuk District, Seoul, South Korea",,,https://www.theworknplay.com/Work/SLPSeongbuk
CE Prep,"3F, B-dong, 11, Incheon tower-daero 180beon-gil, Yeonsu-gu, Incheon, Republic of Korea",,,https://www.theworknplay.com/Work/CEPrep
,"5 Donggok-ro, Buk-myeon, Uichang-gu, Changwon-si, Gyeongsangnam-do, South Korea",,,https://www.theworknplay.com/Work/FeinschuleChangwon
Dux Anyang,"Unit 701, 140 Pyeongchon-daero, Dongan-gu, Anyang-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/DuxAnyang
Dux Gangdong Godeuk,"3F, 13 Dongnam-ro 75-gil, Gangdong-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/DuxGangdongGodeuk
FASTRACKIDS Jamsil,"19 Baekjegobun-ro 29-gil, Songpa-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/FASTRACKIDSJamsil
Dux Suwon,"Unit 504, 1569 Bongyeong-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/DuxSuwon
HUFS Language Institute Buldang Cheonan,"Suite 401&406&407, 4th floor, 142 Buldang-dong, Seobuk-gu, Cheonan-si, Chungcheongnam-do, South Korea",,,https://www.theworknplay.com/Work/HUFSLanguageInstituteBuldangCheonan
EiE Daejeon Doan,"5F, 683 Dongseo-daero, Yuseong-gu, Daejeon, South Korea",,,https://www.theworknplay.com/Work/EiEDaejeonDoan
Francis Parker Collegiate Gangseo,"6F, 123-28 Yangcheon-ro 30-gil, Gangseo-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/FrancisParkerCollegiateGangseo
