Date,Open,High,Low,Close ,Adj Close ,Volume
3-May-24,"7,142.86","7,165.10","7,094.62","7,134.72","7,134.72","159,524,500"
2-May-24,"7,227.61","7,232.95","7,072.47","7,117.42","7,117.42","145,628,700"
30-Apr-24,"7,187.41","7,266.87","7,179.69","7,234.20","7,234.20","156,560,600"
29-Apr-24,"7,021.49","7,155.78","7,021.49","7,155.78","7,155.78","129,998,600"
26-Apr-24,"7,137.93","7,149.25","7,036.08","7,036.08","7,036.08","137,603,900"
25-Apr-24,"7,167.98","7,177.06","7,132.10","7,155.29","7,155.29","140,400,000"
24-Apr-24,"7,127.05","7,191.18","7,126.85","7,174.53","7,174.53","154,056,000"
23-Apr-24,"7,102.81","7,165.95","7,099.84","7,110.81","7,110.81","172,892,100"
22-Apr-24,"7,099.52","7,117.02","7,026.48","7,073.82","7,073.82","121,595,900"
19-Apr-24,"7,131.46","7,141.58","7,036.21","7,087.32","7,087.32","150,694,500"
18-Apr-24,"7,151.74","7,180.56","7,135.52","7,166.81","7,166.81","129,376,600"
17-Apr-24,"7,199.83","7,234.37","7,130.84","7,130.84","7,130.84","143,541,300"
16-Apr-24,"7,130.63","7,188.09","7,066.57","7,164.81","7,164.81","175,642,500"
5-Apr-24,"7,245.32","7,298.86","7,239.27","7,286.88","7,286.88","94,886,600"
4-Apr-24,"7,170.72","7,254.40","7,165.83","7,254.40","7,254.40","108,900,300"
3-Apr-24,"7,214.02","7,226.35","7,158.74","7,166.84","7,166.84","111,040,300"
2-Apr-24,"7,199.12","7,236.98","7,153.94","7,236.98","7,236.98","127,711,500"
1-Apr-24,"7,286.11","7,295.00","7,137.46","7,205.06","7,205.06","124,345,600"
28-Mar-24,"7,289.16","7,313.01","7,244.95","7,288.81","7,288.81","124,084,200"
27-Mar-24,"7,364.23","7,375.40","7,292.80","7,310.09","7,310.09","125,276,700"
26-Mar-24,"7,337.66","7,371.84","7,330.46","7,365.66","7,365.66","138,442,500"
25-Mar-24,"7,339.52","7,377.76","7,316.93","7,377.76","7,377.76","124,315,600"
22-Mar-24,"7,327.51","7,350.15","7,318.44","7,350.15","7,350.15","123,735,900"
21-Mar-24,"7,360.56","7,396.47","7,336.60","7,338.35","7,338.35","139,792,200"
20-Mar-24,"7,303.93","7,343.46","7,295.35","7,331.13","7,331.13","169,731,600"
19-Mar-24,"7,320.54","7,361.53","7,314.18","7,336.75","7,336.75","137,594,400"
18-Mar-24,"7,338.08","7,358.55","7,300.94","7,302.45","7,302.45","155,334,600"
15-Mar-24,"7,408.66","7,416.34","7,308.04","7,328.05","7,328.05","231,480,500"
14-Mar-24,"7,405.57","7,454.45","7,380.65","7,433.31","7,433.31","129,206,200"
13-Mar-24,"7,422.30","7,441.62","7,392.01","7,421.21","7,421.21","135,225,800"
8-Mar-24,"7,398.43","7,416.43","7,376.16","7,381.91","7,381.91","125,243,200"
7-Mar-24,"7,338.73","7,386.87","7,334.31","7,373.96","7,373.96","193,312,700"
6-Mar-24,"7,252.08","7,331.08","7,248.53","7,329.80","7,329.80","180,285,900"
5-Mar-24,"7,296.53","7,305.45","7,238.34","7,247.46","7,247.46","152,811,800"
4-Mar-24,"7,318.83","7,328.38","7,259.78","7,276.75","7,276.75","168,064,100"
1-Mar-24,"7,318.67","7,331.32","7,269.89","7,311.91","7,311.91","134,622,000"
29-Feb-24,"7,326.80","7,337.92","7,289.34","7,316.11","7,316.11","230,050,900"
28-Feb-24,"7,292.08","7,328.74","7,289.26","7,328.64","7,328.64","220,356,500"
27-Feb-24,"7,263.99","7,292.93","7,255.12","7,285.32","7,285.32","183,851,000"
26-Feb-24,"7,277.64","7,295.14","7,252.28","7,283.82","7,283.82","147,080,400"
23-Feb-24,"7,326.53","7,340.19","7,262.10","7,295.10","7,295.10","146,259,500"
22-Feb-24,"7,334.95","7,365.76","7,321.52","7,339.64","7,339.64","154,523,800"
21-Feb-24,"7,345.79","7,370.88","7,286.67","7,349.02","7,349.02","152,570,100"
20-Feb-24,"7,320.72","7,354.11","7,309.50","7,352.60","7,352.60","129,972,000"
19-Feb-24,"7,323.31","7,339.76","7,277.54","7,296.70","7,296.70","151,238,000"
16-Feb-24,"7,337.82","7,370.57","7,314.88","7,335.54","7,335.54","146,427,800"
15-Feb-24,"7,337.63","7,365.68","7,298.48","7,303.28","7,303.28","184,420,400"
13-Feb-24,"7,301.59","7,301.59","7,197.83","7,209.74","7,209.74","128,287,400"
12-Feb-24,"7,268.33","7,306.16","7,250.31","7,297.67","7,297.67","178,661,300"
7-Feb-24,"7,264.98","7,285.13","7,225.45","7,235.15","7,235.15","138,054,800"
6-Feb-24,"7,230.15","7,268.13","7,212.14","7,247.41","7,247.41","138,020,300"
5-Feb-24,"7,237.33","7,254.09","7,186.17","7,198.62","7,198.62","137,325,900"
2-Feb-24,"7,221.90","7,238.79","7,180.36","7,238.79","7,238.79","114,364,900"
1-Feb-24,"7,221.85","7,248.53","7,191.69","7,201.70","7,201.70","157,409,100"
31-Jan-24,"7,213.31","7,247.52","7,192.64","7,207.94","7,207.94","170,270,400"
30-Jan-24,"7,147.24","7,213.19","7,133.61","7,192.22","7,192.22","182,161,800"
29-Jan-24,"7,147.71","7,177.70","7,115.04","7,157.17","7,157.17","160,408,500"
26-Jan-24,"7,152.27","7,166.69","7,099.08","7,137.09","7,137.09","140,214,300"
25-Jan-24,"7,215.53","7,253.72","7,176.11","7,178.04","7,178.04","130,391,900"
24-Jan-24,"7,255.77","7,271.96","7,170.30","7,227.82","7,227.82","128,902,300"
23-Jan-24,"7,232.52","7,256.23","7,201.83","7,256.23","7,256.23","132,610,200"
22-Jan-24,"7,233.17","7,247.93","7,194.95","7,247.93","7,247.93","141,722,200"
19-Jan-24,"7,271.34","7,277.98","7,170.81","7,227.40","7,227.40","137,359,600"
18-Jan-24,"7,198.85","7,267.08","7,185.38","7,252.97","7,252.97","158,921,700"
17-Jan-24,"7,248.01","7,252.46","7,162.48","7,200.63","7,200.63","202,143,100"
16-Jan-24,"7,231.64","7,268.18","7,210.03","7,242.79","7,242.79","130,295,500"
15-Jan-24,"7,254.04","7,281.26","7,206.31","7,224.00","7,224.00","132,959,600"
12-Jan-24,"7,242.37","7,271.87","7,205.76","7,241.14","7,241.14","152,196,500"
11-Jan-24,"7,253.46","7,277.50","7,219.96","7,219.96","7,219.96","190,523,900"
10-Jan-24,"7,187.58","7,259.60","7,152.88","7,227.30","7,227.30","152,699,300"
9-Jan-24,"7,299.78","7,311.64","7,180.16","7,200.20","7,200.20","152,570,700"
8-Jan-24,"7,362.05","7,393.13","7,275.17","7,283.58","7,283.58","140,602,400"
